"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/21/2024","AQS","160010010","1","2.7","ug/m3 LC","15","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/24/2024","AQS","160010010","1","5.3","ug/m3 LC","29","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/27/2024","AQS","160010010","1","1.2","ug/m3 LC","7","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/30/2024","AQS","160010010","1","2","ug/m3 LC","11","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/03/2024","AQS","160010010","1","2.1","ug/m3 LC","12","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/06/2024","AQS","160010010","1","1.4","ug/m3 LC","8","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/09/2024","AQS","160010010","1","1.8","ug/m3 LC","10","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/12/2024","AQS","160010010","1","6.9","ug/m3 LC","38","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/15/2024","AQS","160010010","1","3.9","ug/m3 LC","22","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/18/2024","AQS","160010010","1","3.6","ug/m3 LC","20","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/21/2024","AQS","160010010","1","3.1","ug/m3 LC","17","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/24/2024","AQS","160010010","1","2.3","ug/m3 LC","13","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/27/2024","AQS","160010010","1","8.5","ug/m3 LC","47","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"05/30/2024","AQS","160010010","1","2.3","ug/m3 LC","13","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"06/02/2024","AQS","160010010","1","3","ug/m3 LC","17","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"06/05/2024","AQS","160010010","1","4.4","ug/m3 LC","24","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"06/08/2024","AQS","160010010","1","5.3","ug/m3 LC","29","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"06/11/2024","AQS","160010010","1","6.4","ug/m3 LC","36","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"06/14/2024","AQS","160010010","1","4.4","ug/m3 LC","24","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"06/17/2024","AQS","160010010","1","4","ug/m3 LC","22","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"06/20/2024","AQS","160010010","1","5.2","ug/m3 LC","29","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"06/23/2024","AQS","160010010","1","8","ug/m3 LC","44","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"06/26/2024","AQS","160010010","1","5.9","ug/m3 LC","33","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"06/29/2024","AQS","160010010","1","4.1","ug/m3 LC","23","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/01/2024","AQS","160010010","7","15.4","ug/m3 LC","63","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/02/2024","AQS","160010010","7","12.9","ug/m3 LC","58","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/03/2024","AQS","160010010","7","15.6","ug/m3 LC","63","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/04/2024","AQS","160010010","7","5.7","ug/m3 LC","32","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/05/2024","AQS","160010010","7","5.8","ug/m3 LC","32","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/06/2024","AQS","160010010","7","1.8","ug/m3 LC","10","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/07/2024","AQS","160010010","7","2.8","ug/m3 LC","16","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/08/2024","AQS","160010010","7","4","ug/m3 LC","22","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/09/2024","AQS","160010010","7","1.1","ug/m3 LC","6","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/10/2024","AQS","160010010","7","2.1","ug/m3 LC","12","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/11/2024","AQS","160010010","7","4.2","ug/m3 LC","23","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
